shot_id,timestamp,magnitude1,magnitude2,magnitude3,magnitude4,magnitude5,magnitude6,magnitude7,magnitude8
12,1756299419.1695156,3.9449,5.5681,12.3076,17.9710,13.6716,21.6859,6.7220,23.2195
13,1756299419.5974844,12.3076,17.9710,13.6716,21.6859,6.7220,23.2195,6.2299,20.1367
13,1756299419.9031053,13.6716,21.6859,6.7220,23.2195,6.2299,20.1367,5.3003,15.5006
13,1756299420.5173354,6.7220,23.2195,6.2299,20.1367,5.3003,15.5006,19.7899,1.5775
13,1756299421.433668,20.1367,5.3003,15.5006,19.7899,1.5775,4.5002,5.0668,2.1443
13,1756299427.732839,9.7975,5.6076,9.5867,25.4192,11.3533,18.6947,6.7470,2.6668
14,1756299428.25055,9.5867,25.4192,11.3533,18.6947,6.7470,2.6668,5.0718,7.5487
14,1756299433.116566,7.5487,4.2538,11.6526,24.4116,3.1441,16.2999,5.4488,4.9317
15,1756299433.6335826,11.6526,24.4116,3.1441,16.2999,5.4488,4.9317,4.9858,7.4110
15,1756299439.220139,0.7318,2.7037,0.2998,11.7699,6.8199,13.7106,6.9703,4.4584
16,1756299439.736696,0.2998,11.7699,6.8199,13.7106,6.9703,4.4584,4.0713,3.9726
16,1756299442.985366,1.8728,2.8344,4.1627,10.3093,7.3752,7.1001,27.5326,3.8656
16,1756299443.7960067,10.3093,7.3752,7.1001,27.5326,3.8656,3.5936,3.8261,4.1568
16,1756299447.053983,6.9369,7.8670,4.3565,20.0546,5.2216,3.6334,3.4318,1.8854
17,1756299451.7323043,1.4812,1.4658,11.3337,14.1535,5.7020,2.5460,10.6143,2.3699
17,1756299452.6505258,14.1535,5.7020,2.5460,10.6143,2.3699,0.9106,12.1608,11.2549
18,1756299455.9060094,10.6143,2.3699,0.9106,12.1608,11.2549,4.0419,5.3950,15.7417
18,1756299460.478477,11.2549,4.0419,5.3950,15.7417,14.5165,7.4978,2.5758,3.5459
19,1756299463.3215344,3.5459,7.4910,3.1876,11.4000,11.0748,23.3511,4.5305,4.3329
19,1756299464.350153,3.1876,11.4000,11.0748,23.3511,4.5305,4.3329,15.6409,21.0899
19,1756299465.2665792,4.5305,4.3329,15.6409,21.0899,1.4269,1.4475,1.6873,2.5132
19,1756299784.8747237,0.5925,2.2381,1.5317,15.1332,3.3801,0.5471,0.8387,1.3738
20,1756299793.2120304,5.9690,2.7818,3.0162,10.8826,9.6096,2.8347,10.8517,7.0830
21,1756299793.9321222,10.8826,9.6096,2.8347,10.8517,7.0830,6.7467,6.2468,3.2039
21,1756299795.8634229,6.2468,3.2039,5.8143,16.3622,5.4996,13.5651,9.9790,6.5754
21,1756299796.6786654,5.8143,16.3622,5.4996,13.5651,9.9790,6.5754,9.0973,9.7993
21,1756299798.7128148,6.5754,9.0973,9.7993,10.2478,6.5786,11.0552,5.1763,20.0343
